iter	MAE
0	0.2195977221
1	0.2178380172
2	0.2164055268
3	0.2149001057
4	0.2130305697
5	0.2114485226
6	0.2099882212
7	0.2083224539
8	0.2068869496
9	0.2054328165
10	0.2039564347
11	0.2020629702
12	0.2003867533
13	0.1990820153
14	0.1978920751
15	0.19674662
16	0.195943893
17	0.1947032864
18	0.1935146735
19	0.1923987553
20	0.1909276015
21	0.1896999892
22	0.188534932
23	0.1873773781
24	0.186426661
25	0.1853326992
26	0.1842308546
27	0.1833703328
28	0.1820845839
29	0.1810769028
30	0.1801345127
31	0.1789589613
32	0.1776965911
33	0.1768324183
34	0.1760473626
35	0.1753429869
36	0.1741139548
37	0.1729617686
38	0.1722960261
39	0.1714040002
40	0.1705197035
41	0.1698154919
42	0.1692320663
43	0.1681332703
44	0.167322228
45	0.1665867477
46	0.165873429
47	0.1650517336
48	0.1641339549
49	0.1630847026
50	0.1622512847
51	0.1613671218
52	0.1606442202
53	0.1601086891
54	0.1594524428
55	0.1589436196
56	0.1582880554
57	0.1577483959
58	0.1570087834
59	0.1563470368
60	0.1556795484
61	0.1550287764
62	0.1544401085
63	0.1536979197
64	0.1529392055
65	0.1521760852
66	0.1513782857
67	0.1506463748
68	0.1500947385
69	0.149375794
70	0.1487802926
71	0.1479953059
72	0.1473642736
73	0.1467024273
74	0.1460087128
75	0.1454466247
76	0.14480219
77	0.1444664682
78	0.1439150666
79	0.143288486
80	0.142852558
81	0.1425358613
82	0.1418461787
83	0.141080351
84	0.1404980858
85	0.1398212416
86	0.1390742599
87	0.1386207517
88	0.1382953458
89	0.1377559987
90	0.1372380912
91	0.1368257588
92	0.1364331586
93	0.1360856948
94	0.1358548071
95	0.1352730842
96	0.1347083907
97	0.1344435443
98	0.1339639254
99	0.1333950561
100	0.1330274364
101	0.1325485667
102	0.1321926836
103	0.1317565875
104	0.1312460693
105	0.1309428484
106	0.1306138665
107	0.1301222004
108	0.1293311737
109	0.1287678512
110	0.1283758244
111	0.1279221975
112	0.1277367153
113	0.1272820578
114	0.1266542061
115	0.1262007395
116	0.1257731342
117	0.1255135086
118	0.1250683579
119	0.1247705723
120	0.1244486274
121	0.1242122756
122	0.1237686741
123	0.123384114
124	0.1230227566
125	0.122761655
126	0.122523891
127	0.1221648131
128	0.1217902529
129	0.1214973133
130	0.1211275568
131	0.1207289721
132	0.1204030413
133	0.1201088954
134	0.1194775574
135	0.1190578835
136	0.1185845397
137	0.11821033
138	0.1179099879
139	0.1176904013
140	0.1172741902
141	0.116955279
142	0.1166108214
143	0.1163541546
144	0.1161186909
145	0.115861117
146	0.1155207712
147	0.1152029129
148	0.114882665
149	0.1145699776
150	0.1142644273
151	0.1138491028
152	0.1135608964
153	0.1133473284
154	0.1130148462
155	0.1128843988
156	0.1127254478
157	0.1123805407
158	0.1122416578
159	0.1118416382
160	0.1116868037
161	0.1114394673
162	0.1112584726
163	0.1109978053
164	0.1108502161
165	0.1105334366
166	0.1101252351
167	0.1097656041
168	0.109519344
169	0.1092495124
170	0.1086921153
171	0.1084652781
172	0.1082050059
173	0.108017414
174	0.1077762547
175	0.1075482082
176	0.1071852375
177	0.1070380409
178	0.1068325419
179	0.106703365
180	0.1062852587
181	0.1061656356
182	0.1060139323
183	0.1057136426
184	0.1053606292
185	0.105105325
186	0.1049006082
187	0.1047959959
188	0.104675756
189	0.10448428
190	0.104287228
191	0.1040914257
192	0.1038660534
193	0.103606826
194	0.1034776683
195	0.1033185251
196	0.103138613
197	0.1029699849
198	0.1027332068
199	0.1024670924
200	0.1023786186
201	0.1021999517
202	0.1019808394
203	0.1014167429
204	0.1012041936
205	0.10112806
206	0.1009125471
207	0.1005198776
208	0.1002266064
209	0.0998939371
210	0.09970818762
211	0.09945868649
212	0.09922732862
213	0.09889870217
214	0.09844250083
215	0.09808983685
216	0.09782079448
217	0.09763284304
218	0.09747534983
219	0.09711860657
220	0.09695382933
221	0.0967470469
222	0.09666106526
223	0.09628443769
224	0.0962220674
225	0.09598464855
226	0.09572456658
227	0.09557569287
228	0.09550688527
229	0.09503503144
230	0.09484904516
231	0.09457357356
232	0.0943296113
233	0.09416258757
234	0.09394650112
235	0.09383714266
236	0.09366056994
237	0.09346108434
238	0.09336114149
239	0.09297935839
240	0.09277713259
241	0.09262562205
242	0.09237032246
243	0.09227680364
244	0.09203961575
245	0.09192113204
246	0.09172717584
247	0.09157513436
248	0.09131412319
249	0.09114944681
250	0.09098721989
251	0.09078836841
252	0.09065366846
253	0.090447013
254	0.09020800749
255	0.08991807237
256	0.0896875723
257	0.08956642889
258	0.08933250856
259	0.08915842134
260	0.0890041468
261	0.08865797819
262	0.08843397775
263	0.08822013362
264	0.08809383718
265	0.08785824803
266	0.08769974084
267	0.08760151158
268	0.08744263869
269	0.08725509518
270	0.08712551487
271	0.08701971149
272	0.08692114578
273	0.08681055044
274	0.08669568935
275	0.08660245442
276	0.08632046709
277	0.08621102381
278	0.08596400128
279	0.08587667999
280	0.08580639764
281	0.08564866063
282	0.08536377459
283	0.08518982633
284	0.08510846122
285	0.08502173963
286	0.08492119859
287	0.08474125094
288	0.08457941449
289	0.08411348972
290	0.08388571853
291	0.08379283071
292	0.08364580886
293	0.08346278604
294	0.08313053955
295	0.0830106343
296	0.08293171837
297	0.08279383007
298	0.08261861493
299	0.08250127091
300	0.08239494896
301	0.08232336664
302	0.08216866781
303	0.08198201207
304	0.08183388947
305	0.08169770696
306	0.08160445685
307	0.08142201468
308	0.08125835282
309	0.08108573343
310	0.0808296597
311	0.0805249012
312	0.08040509723
313	0.08035637521
314	0.08014713878
315	0.08008491931
316	0.07975677535
317	0.07951723766
318	0.07942202201
319	0.07925444979
320	0.07914745683
321	0.07909511362
322	0.07895997464
323	0.07869773771
324	0.07858595531
325	0.07846914778
326	0.07839409429
327	0.07828476496
328	0.07822615573
329	0.07814079297
330	0.0780158584
331	0.07791767847
332	0.07775005366
333	0.07762255367
334	0.07752986335
335	0.07741124443
336	0.07715537808
337	0.07708359752
338	0.07684758353
339	0.07668234719
340	0.07658345199
341	0.07639124593
342	0.07606478904
343	0.0759401316
344	0.07586017146
345	0.07575831523
346	0.0755165522
347	0.07541296739
348	0.07521014192
349	0.07516689169
350	0.07504003875
351	0.07476865676
352	0.07469757481
353	0.07455709469
354	0.07450306466
355	0.07431372755
356	0.07423225306
357	0.07413616684
358	0.07406695041
359	0.07397170972
360	0.07376929214
361	0.07365047264
362	0.07359000698
363	0.07346767124
364	0.07335510752
365	0.07330429984
366	0.07324381472
367	0.07309346923
368	0.07299312003
369	0.07285476483
370	0.07277855754
371	0.07268284639
372	0.07265234494
373	0.07260874823
374	0.07253699716
375	0.07240961504
376	0.07227057152
377	0.07197593768
378	0.07186959319
379	0.07171243553
380	0.07161184611
381	0.07156847495
382	0.0715428264
383	0.07147956277
384	0.07144808949
385	0.07129108601
386	0.07113596588
387	0.07095554154
388	0.07089933587
389	0.07069643418
390	0.07053694515
391	0.07034185982
392	0.07030562675
393	0.07020405684
394	0.07012276079
395	0.06998648794
396	0.06990374213
397	0.06982762122
398	0.06972962557
399	0.06968059103
400	0.06960543955
401	0.06948869513
402	0.06937178297
403	0.0692995327
404	0.06921838292
405	0.06915941738
406	0.0691112192
407	0.0690182859
408	0.06884815604
409	0.06877722323
410	0.06872137253
411	0.06861448959
412	0.0684773943
413	0.06840149591
414	0.06828928802
415	0.06818191917
416	0.06814625469
417	0.06801472706
418	0.06798010692
419	0.06777296239
420	0.06767713516
421	0.06764276624
422	0.06753691741
423	0.06744906596
424	0.06733503718
425	0.06724810101
426	0.06717324878
427	0.06708759333
428	0.06701442813
429	0.06691390321
430	0.06686628833
431	0.06675083726
432	0.06670684908
433	0.06663351379
434	0.0664818203
435	0.06637107232
436	0.06633412536
437	0.06625056067
438	0.06621288929
439	0.06613470513
440	0.0660739161
441	0.06599126258
442	0.06591651246
443	0.06567007204
444	0.06563452504
445	0.06555062309
446	0.06544902957
447	0.06529669029
448	0.0651493318
449	0.0650436836
450	0.06497768153
451	0.06481083611
452	0.06469067116
453	0.0645674146
454	0.06437121398
455	0.06423081849
456	0.06412150853
457	0.06403719479
458	0.06395111533
459	0.06379883772
460	0.06367761773
461	0.06359237019
462	0.06340293607
463	0.06337499392
464	0.06329146348
465	0.06322389583
466	0.06317455705
467	0.06309724001
468	0.06304609201
469	0.06298351294
470	0.06285455148
471	0.06268632225
472	0.06255791171
473	0.0624095567
474	0.06238144205
475	0.06226732924
476	0.06207672618
477	0.0618945498
478	0.06176273431
479	0.06173346096
480	0.06167037909
481	0.06161960843
482	0.06154837493
483	0.06145741806
484	0.06134794255
485	0.06129597131
486	0.06127396403
487	0.06122542012
488	0.06115193639
489	0.06108924872
490	0.06103862137
491	0.0610124773
492	0.06093541847
493	0.06089212111
494	0.06079625036
495	0.06066279504
496	0.06053136184
497	0.06043258591
498	0.06033794383
499	0.06022740598
500	0.0601403279
501	0.06003666
502	0.05991522095
503	0.05974388191
504	0.05966190248
505	0.05961562651
506	0.05956648489
507	0.05953225898
508	0.05947429591
509	0.05942157958
510	0.05938723949
511	0.059284424
512	0.05922891869
513	0.05918839534
514	0.05910879399
515	0.05907222906
516	0.05888124881
517	0.05871614658
518	0.05856503163
519	0.05853677964
520	0.05835889837
521	0.05813177739
522	0.05809395029
523	0.05805968516
524	0.0579547644
525	0.05782548688
526	0.05771987827
527	0.05749129746
528	0.05734556653
529	0.05727044171
530	0.05722755024
531	0.05708995504
532	0.05705448126
533	0.05699453591
534	0.0568419855
535	0.05683305895
536	0.05677523238
537	0.05671355186
538	0.0565895912
539	0.05655585577
540	0.05651339409
541	0.0564270454
542	0.05639359974
543	0.05636489683
544	0.05625279704
545	0.05613166109
546	0.05609557322
547	0.05605512504
548	0.05594035266
549	0.05578631045
550	0.05574881555
551	0.05570741238
552	0.05562140217
553	0.05555169643
554	0.05548308526
555	0.05546349843
556	0.05543061722
557	0.05539723319
558	0.05531008592
559	0.0552723797
560	0.05525663907
561	0.05517334491
562	0.05511197613
563	0.0550496528
564	0.05502867118
565	0.054980181
566	0.05490112121
567	0.05484235979
568	0.05467358223
569	0.05462903906
570	0.05453328193
571	0.05447085082
572	0.05431268216
573	0.05421516914
574	0.05414635357
575	0.05413020036
576	0.05406395621
577	0.05401160483
578	0.05389323619
579	0.05385097982
580	0.05375253696
581	0.05356784856
582	0.05349914402
583	0.05341446735
584	0.05336236174
585	0.05330569542
586	0.05323724442
587	0.05320626008
588	0.05311396816
589	0.0530534387
590	0.05298150814
591	0.05295176627
592	0.05291143827
593	0.0528259462
594	0.05271021274
595	0.05264552223
596	0.05257393501
597	0.05250949355
598	0.05248558144
599	0.05245576958
600	0.05239413693
601	0.05235419957
602	0.05223141815
603	0.05220975634
604	0.05217784903
605	0.05208057091
606	0.05189592149
607	0.05186717352
608	0.05174710797
609	0.05172351096
610	0.05166176489
611	0.05156679526
612	0.05151877264
613	0.0514642044
614	0.05140875574
615	0.05139734968
616	0.05130874657
617	0.05126814623
618	0.05123574773
619	0.05117347952
620	0.05112811499
621	0.05106216131
622	0.05103998588
623	0.05100584199
624	0.05093271243
625	0.05088392904
626	0.05084833271
627	0.05079511353
628	0.05071187216
629	0.05060807021
630	0.05058439445
631	0.05050941716
632	0.05039433492
633	0.05031342762
634	0.0502710085
635	0.05023592795
636	0.05009092317
637	0.05004281055
638	0.05001615944
639	0.04996995337
640	0.04994087143
641	0.04971910433
642	0.04970385152
643	0.04963194882
644	0.04958491234
645	0.04953368248
646	0.04949539751
647	0.04946327577
648	0.04938070769
649	0.0493378881
650	0.04927363328
651	0.04922613617
652	0.04919151001
653	0.04914437003
654	0.04911573481
655	0.0491006174
656	0.04904370458
657	0.04892543839
658	0.04885272989
659	0.04883556497
660	0.04880096177
661	0.04875331827
662	0.04872477838
663	0.04864271601
664	0.04861478006
665	0.04856188984
666	0.04853345299
667	0.04848011597
668	0.04838223328
669	0.04834777702
670	0.0483281097
671	0.04831463925
672	0.04825969579
673	0.04816288539
674	0.04813226621
675	0.04808152989
676	0.04802248533
677	0.04798071708
678	0.04796443885
679	0.0478987559
680	0.04781964946
681	0.04779310606
682	0.04770419731
683	0.04767104558
684	0.04766175903
685	0.0475963757
686	0.04751235011
687	0.04747019262
688	0.04744308452
689	0.04740587141
690	0.04735828232
691	0.04734235642
692	0.04731424778
693	0.0472612039
694	0.04722024512
695	0.04716955453
696	0.04711955068
697	0.047085082
698	0.04703162138
699	0.04698712293
700	0.04694982513
701	0.04687484733
702	0.04686105921
703	0.04678070878
704	0.0467357696
705	0.04665196658
706	0.04657508557
707	0.04651794068
708	0.04647615721
709	0.04644345519
710	0.04633968215
711	0.04631626496
712	0.04629199677
713	0.04625425295
714	0.0462349997
715	0.04619031788
716	0.04615400281
717	0.04613149232
718	0.04610366829
719	0.04607862956
720	0.0459860235
721	0.04597809495
722	0.04591453203
723	0.04584603583
724	0.04583125381
725	0.04579917551
726	0.04576189088
727	0.04574493866
728	0.04573115803
729	0.04568345299
730	0.04567303437
731	0.04561164001
732	0.04560084065
733	0.04556657523
734	0.04551965103
735	0.04548010091
736	0.04547387249
737	0.04544060566
738	0.04541227575
739	0.04539455465
740	0.04536773245
741	0.04533209926
742	0.04529076275
743	0.04525492335
744	0.04517358004
745	0.04511043469
746	0.04502485218
747	0.04501437841
748	0.04497683268
749	0.04495725888
750	0.0449394696
751	0.04490135002
752	0.04486029908
753	0.04481827285
754	0.04476968818
755	0.04470956306
756	0.04463272239
757	0.04454052034
758	0.04451295695
759	0.04449763939
760	0.04446408007
761	0.0444522387
762	0.04440360425
763	0.04433164402
764	0.04426506284
765	0.04425197793
766	0.04423571962
767	0.04422039512
768	0.04416620391
769	0.0441519741
770	0.04410100629
771	0.04405757529
772	0.04402794874
773	0.04398827709
774	0.04394134252
775	0.04390182077
776	0.04385450231
777	0.04380512005
778	0.04378575026
779	0.04377041263
780	0.04369456936
781	0.04367965013
782	0.04366327887
783	0.04362482413
784	0.04355188069
785	0.04351104201
786	0.04344046813
787	0.04342768097
788	0.04337484315
789	0.04334423909
790	0.0433230876
791	0.04329107311
792	0.04326763985
793	0.04321776452
794	0.04318233691
795	0.04314545536
796	0.04310615423
797	0.04309020844
798	0.04303347768
799	0.04301227003
800	0.04298881724
801	0.04295724391
802	0.04291879194
803	0.04285486186
804	0.0428246167
805	0.04282046862
806	0.04280941979
807	0.0427376792
808	0.0427037273
809	0.04265370032
810	0.04259100649
811	0.04256078144
812	0.04252031522
813	0.04250412773
814	0.04249024645
815	0.04247860962
816	0.04245327428
817	0.04243396521
818	0.04235377757
819	0.0423015865
820	0.04225463898
821	0.04221169672
822	0.04218198613
823	0.04211248679
824	0.04205676205
825	0.04202734312
826	0.04199651645
827	0.04198208938
828	0.04193558395
829	0.04192336848
830	0.04189416946
831	0.04188472666
832	0.04185639198
833	0.04183883804
834	0.04177719656
835	0.04172177366
836	0.04168845187
837	0.04165870728
838	0.04164425634
839	0.04162518417
840	0.04158128293
841	0.04153856507
842	0.04150287197
843	0.04148196471
844	0.04146772791
845	0.04141471753
846	0.04138572949
847	0.0413616333
848	0.04135805695
849	0.04128822303
850	0.04126123538
851	0.04123270378
852	0.04119504075
853	0.04117108297
854	0.04113985568
855	0.04113106452
856	0.04108403419
857	0.04105475085
858	0.04104400763
859	0.0409657678
860	0.04091057646
861	0.04090319795
862	0.04087755058
863	0.04083853142
864	0.04082858902
865	0.04077944994
866	0.04073098499
867	0.04068995913
868	0.04065397735
869	0.04058813469
870	0.04054253133
871	0.04047165926
872	0.04043166349
873	0.04039098698
874	0.04037440645
875	0.04034352288
876	0.04031651745
877	0.0402756669
878	0.04025114371
879	0.04022290076
880	0.04019954823
881	0.04016494801
882	0.04014907446
883	0.04012081221
884	0.04010605428
885	0.04006335529
886	0.04003654102
887	0.03998430266
888	0.0399322995
889	0.039925832
890	0.03991684881
891	0.03984339725
892	0.03980743845
893	0.03978919124
894	0.03977320397
895	0.03974542794
896	0.03971553309
897	0.03968669023
898	0.03966496322
899	0.03964340602
900	0.03962541775
901	0.0395824634
902	0.03951951898
903	0.03948037588
904	0.03945801983
905	0.03937313811
906	0.03935156398
907	0.03934419532
908	0.03933822004
909	0.03932205495
910	0.03931764002
911	0.03931569559
