iter	Passed	Remaining
423	2129	2892
424	2134	2887
425	2139	2882
426	2144	2877
427	2149	2872
428	2154	2866
429	2159	2862
430	2164	2856
431	2169	2851
432	2174	2847
433	2179	2842
434	2184	2837
435	2189	2831
436	2194	2826
437	2198	2821
438	2203	2816
439	2208	2810
440	2213	2805
441	2218	2800
442	2223	2795
443	2228	2790
444	2233	2785
445	2238	2780
446	2243	2775
447	2248	2770
448	2253	2765
449	2258	2760
450	2262	2753
451	2265	2746
452	2269	2740
453	2273	2734
454	2278	2729
455	2283	2724
456	2288	2719
457	2293	2714
458	2298	2709
459	2302	2703
460	2307	2697
461	2312	2692
462	2316	2687
463	2322	2682
464	2326	2676
465	2332	2672
466	2337	2667
467	2342	2662
468	2348	2658
469	2353	2654
470	2359	2649
471	2364	2644
472	2369	2639
473	2373	2634
474	2378	2628
475	2383	2624
476	2388	2618
477	2394	2614
478	2399	2609
479	2403	2604
480	2409	2599
481	2414	2594
482	2419	2589
483	2424	2584
484	2429	2579
485	2434	2574
486	2439	2569
487	2444	2564
488	2449	2559
489	2453	2554
490	2458	2548
491	2463	2543
492	2468	2538
493	2473	2533
494	2478	2528
495	2482	2522
496	2487	2517
497	2492	2512
498	2496	2506
499	2501	2501
500	2506	2496
501	2511	2491
502	2516	2486
503	2521	2481
504	2526	2476
505	2531	2471
506	2535	2465
507	2540	2460
508	2545	2455
509	2550	2450
510	2555	2445
511	2560	2440
512	2565	2435
513	2571	2430
514	2576	2426
515	2581	2421
516	2585	2415
517	2590	2410
518	2595	2405
519	2600	2400
520	2605	2395
521	2610	2390
522	2615	2385
523	2620	2380
524	2625	2375
525	2630	2370
526	2635	2365
527	2640	2360
528	2645	2355
529	2650	2350
530	2655	2345
531	2660	2340
532	2666	2336
533	2671	2331
534	2676	2326
535	2681	2321
536	2686	2316
537	2691	2311
538	2696	2306
539	2701	2301
540	2706	2296
541	2711	2290
542	2716	2285
543	2721	2281
544	2726	2276
545	2731	2271
546	2736	2266
547	2741	2261
548	2746	2256
549	2752	2251
550	2757	2246
551	2762	2241
552	2767	2237
553	2773	2232
554	2778	2227
555	2783	2222
556	2788	2218
557	2793	2213
558	2798	2208
559	2803	2203
560	2809	2198
561	2814	2193
562	2818	2188
563	2823	2182
564	2828	2178
565	2834	2173
566	2839	2168
567	2844	2163
568	2849	2158
569	2854	2153
570	2858	2147
571	2863	2142
572	2868	2137
573	2873	2132
574	2878	2127
575	2883	2122
576	2889	2118
577	2894	2113
578	2899	2107
579	2904	2102
580	2908	2097
581	2913	2092
582	2918	2087
583	2923	2082
584	2928	2077
585	2933	2072
586	2937	2066
587	2941	2061
588	2946	2056
589	2951	2051
590	2956	2046
591	2961	2041
592	2967	2036
593	2972	2031
594	2977	2026
595	2982	2021
596	2987	2016
597	2991	2011
598	2996	2006
599	3002	2001
600	3007	1996
601	3012	1991
602	3017	1986
603	3022	1981
604	3027	1976
605	3033	1972
606	3038	1967
607	3043	1962
608	3048	1957
609	3053	1952
610	3058	1947
611	3064	1942
612	3069	1937
613	3074	1932
614	3079	1927
615	3084	1922
616	3089	1917
617	3094	1912
618	3099	1907
619	3103	1902
620	3108	1896
621	3113	1891
622	3118	1886
623	3123	1881
624	3128	1876
625	3133	1871
626	3138	1866
627	3142	1861
628	3148	1856
629	3152	1851
630	3157	1846
631	3162	1841
632	3167	1836
633	3172	1831
634	3177	1826
635	3183	1821
636	3187	1816
637	3192	1811
638	3197	1806
639	3203	1801
640	3208	1796
641	3213	1791
642	3218	1786
643	3223	1781
644	3228	1776
645	3233	1771
646	3238	1766
647	3242	1761
648	3248	1756
649	3252	1751
650	3257	1746
651	3262	1741
652	3267	1736
653	3272	1731
654	3278	1726
655	3282	1721
656	3287	1716
657	3292	1711
658	3298	1706
659	3302	1701
660	3308	1696
661	3312	1691
662	3317	1686
663	3322	1681
664	3327	1676
665	3333	1671
666	3338	1666
667	3343	1661
668	3347	1656
669	3352	1651
670	3357	1646
671	3362	1641
672	3367	1636
673	3372	1631
674	3377	1626
675	3382	1621
676	3387	1616
677	3392	1611
678	3397	1606
679	3402	1601
680	3407	1596
681	3411	1590
682	3417	1585
683	3422	1581
684	3427	1576
685	3432	1571
686	3437	1566
687	3442	1561
688	3447	1556
689	3452	1551
690	3457	1546
691	3462	1541
692	3467	1536
693	3472	1531
694	3477	1526
695	3482	1521
696	3487	1516
697	3492	1511
698	3497	1505
699	3501	1500
700	3507	1495
701	3511	1490
702	3516	1485
703	3521	1480
704	3526	1475
705	3531	1470
706	3536	1465
707	3540	1460
708	3545	1455
709	3551	1450
710	3556	1445
711	3561	1440
712	3566	1435
713	3571	1430
714	3575	1425
715	3580	1420
716	3585	1415
717	3590	1410
718	3595	1405
719	3600	1400
720	3605	1395
721	3610	1390
722	3615	1385
723	3619	1379
724	3625	1375
725	3630	1370
726	3635	1365
727	3639	1359
728	3644	1354
729	3649	1349
730	3654	1344
731	3659	1339
732	3665	1335
733	3670	1330
734	3675	1325
735	3684	1321
736	3689	1316
737	3694	1311
738	3699	1306
739	3704	1301
740	3709	1296
741	3714	1291
742	3719	1286
743	3725	1281
744	3730	1276
745	3735	1272
746	3740	1266
747	3745	1261
748	3750	1256
749	3755	1251
750	3760	1246
751	3765	1241
752	3769	1236
753	3774	1231
754	3780	1226
755	3785	1221
756	3790	1216
757	3796	1211
758	3801	1207
759	3807	1202
760	3813	1197
761	3819	1192
762	3824	1187
763	3829	1182
764	3834	1177
765	3839	1172
766	3844	1167
767	3849	1162
768	3854	1157
769	3859	1152
770	3864	1147
771	3869	1142
772	3874	1137
773	3879	1132
774	3884	1127
775	3889	1122
776	3894	1117
777	3899	1112
778	3904	1107
779	3909	1102
780	3915	1097
781	3918	1092
782	3923	1087
783	3928	1082
784	3933	1077
785	3938	1072
786	3943	1067
787	3948	1062
788	3953	1057
789	3958	1052
790	3963	1047
791	3968	1042
792	3973	1037
793	3978	1032
794	3983	1027
795	3988	1022
796	3993	1017
797	3998	1012
798	4003	1007
799	4007	1001
800	4012	996
801	4017	991
802	4022	986
803	4027	981
804	4032	976
805	4037	971
806	4042	966
807	4047	961
808	4052	956
809	4057	951
810	4062	946
811	4067	941
812	4071	936
813	4076	931
814	4081	926
815	4086	921
816	4091	916
817	4096	911
818	4101	906
819	4106	901
820	4111	896
821	4116	891
822	4121	886
823	4126	881
824	4131	876
825	4136	871
826	4141	866
827	4146	861
828	4151	856
829	4156	851
830	4161	846
831	4166	841
832	4171	836
833	4176	831
834	4181	826
835	4186	821
836	4191	816
837	4195	811
838	4199	805
839	4204	800
840	4209	795
841	4214	790
842	4219	785
843	4224	780
844	4229	775
845	4234	770
846	4239	765
847	4244	760
848	4249	755
849	4254	750
850	4259	745
851	4263	740
852	4268	735
853	4273	730
854	4278	725
855	4283	720
856	4288	715
857	4293	710
858	4298	705
859	4303	700
860	4308	695
861	4313	690
862	4318	685
863	4323	680
864	4328	675
865	4333	670
866	4338	665
867	4343	660
868	4348	655
869	4353	650
870	4358	645
871	4363	640
872	4368	635
873	4373	630
874	4378	625
875	4383	620
876	4389	615
877	4394	610
878	4399	605
879	4404	600
880	4409	595
881	4414	590
882	4419	585
883	4424	580
884	4429	575
885	4434	570
886	4439	565
887	4444	560
888	4449	555
889	4454	550
890	4459	545
891	4464	540
892	4469	535
893	4474	530
894	4479	525
895	4484	520
896	4489	515
897	4494	510
898	4499	505
899	4504	500
900	4509	495
901	4513	490
902	4518	485
903	4522	480
904	4527	475
905	4532	470
906	4537	465
907	4542	460
908	4547	455
909	4552	450
910	4557	445
911	4562	440
912	4567	435
913	4572	430
914	4577	425
915	4581	420
916	4586	415
917	4591	410
918	4596	405
919	4601	400
920	4605	395
921	4610	390
922	4615	385
923	4620	380
924	4625	375
925	4629	369
926	4635	365
927	4639	359
928	4644	354
929	4649	349
930	4654	344
931	4659	339
932	4664	334
933	4669	329
934	4674	324
935	4679	319
936	4684	314
937	4688	309
938	4693	304
939	4698	299
940	4703	294
941	4709	289
942	4713	284
943	4718	279
944	4724	274
945	4729	269
946	4734	264
947	4739	259
948	4744	254
949	4748	249
950	4753	244
951	4758	239
952	4763	234
953	4768	229
954	4773	224
955	4778	219
956	4784	214
957	4790	210
958	4795	205
959	4800	200
960	4806	195
961	4811	190
962	4816	185
963	4821	180
964	4826	175
965	4831	170
966	4836	165
967	4841	160
968	4846	155
969	4851	150
970	4856	145
971	4861	140
972	4866	135
973	4871	130
974	4875	125
975	4880	120
976	4885	115
977	4890	110
978	4895	105
979	4900	100
980	4905	95
981	4910	90
982	4916	85
983	4921	80
984	4926	75
985	4931	70
986	4936	65
987	4941	60
988	4946	55
989	4951	50
990	4956	45
991	4961	40
992	4966	35
993	4971	30
994	4977	25
995	4982	20
996	4987	15
997	4993	10
998	4998	5
999	5003	0
