iter	RMSE
0	206.5285248
1	201.2966106
2	196.1931283
3	191.5162814
4	187.0382677
5	182.4480243
6	177.9540655
7	173.788984
8	169.7950286
9	165.7869134
10	161.9737331
11	158.4926255
12	154.968719
13	151.435618
14	148.1907172
15	145.150261
16	142.2574984
17	139.4303146
18	136.821206
19	134.1276034
20	131.4719138
21	129.02397
22	126.7886791
23	124.8084118
24	122.5418212
25	120.6370524
26	118.7082896
27	116.9352006
28	114.9968534
29	113.3061489
30	111.6683644
31	109.9092026
32	108.3529165
33	106.8781948
34	105.4789868
35	103.9542425
36	102.5924418
37	101.1278402
38	99.81972513
39	98.65581318
40	97.43269091
41	96.22933255
42	95.17690547
43	94.07683782
44	93.11921393
45	92.14120569
46	91.23833637
47	90.22508857
48	89.31884394
49	88.4679154
50	87.50920896
51	86.6810974
52	85.88089522
53	85.21208515
54	84.41777277
55	83.73972871
56	83.17775891
57	82.58349098
58	82.00210297
59	81.4365327
60	80.83302836
61	80.22141164
62	79.57828032
63	79.11511334
64	78.44161851
65	77.91405282
66	77.46540509
67	77.04047214
68	76.57325703
69	76.02958491
70	75.64735508
71	75.25910524
72	74.75277105
73	74.34640813
74	73.9936944
75	73.58875152
76	73.30448052
77	73.0645197
78	72.73535212
79	72.45722386
80	72.15044594
81	71.87860753
82	71.52354788
83	71.19440567
84	70.91562991
85	70.63381947
86	70.3195679
87	69.88037873
88	69.55350117
89	69.34152452
90	69.12638247
91	68.84838363
92	68.55072488
93	68.27683754
94	67.83692983
95	67.64695579
96	67.4924022
97	67.27074544
98	67.13501912
99	66.97839776
100	66.8096721
101	66.55424494
102	66.46717528
103	66.23278296
104	66.01842796
105	65.79699478
106	65.60683992
107	65.44103131
108	65.33386099
109	65.23001551
110	65.11723482
111	64.90338314
112	64.68262179
113	64.58386153
114	64.29655908
115	64.20891163
116	64.02629339
117	63.81117925
118	63.65693284
119	63.54806904
120	63.42579629
121	63.26598784
122	63.15396957
123	62.93821759
124	62.80553205
125	62.61589216
126	62.47222696
127	62.37281932
128	62.26176401
129	62.16790284
130	62.03652639
131	61.82813397
132	61.75915808
133	61.67185068
134	61.51555482
135	61.40416879
136	61.32943629
137	61.24933251
138	61.17087109
139	61.03023724
140	60.89529837
141	60.78760322
142	60.64022247
143	60.53258924
144	60.4606105
145	60.32004358
146	60.21571184
147	60.10683318
148	59.92398234
149	59.77494303
150	59.60497702
151	59.43661818
152	59.3581247
153	59.2371992
154	59.1569022
155	59.01190341
156	58.92048732
157	58.7883155
158	58.74574503
159	58.64490702
160	58.56566524
161	58.40057018
162	58.35318649
163	58.23275009
164	58.12641387
165	58.09557035
166	58.01530517
167	57.98573578
168	57.92942324
169	57.88141644
170	57.78963493
171	57.76240713
172	57.64014076
173	57.5674846
174	57.4915379
175	57.46886087
176	57.33047002
177	57.21076202
178	57.08403784
179	57.02721532
180	56.96756554
181	56.89103688
182	56.74880311
183	56.60372339
184	56.58248929
185	56.50767113
186	56.44153344
187	56.33572426
188	56.26090364
189	56.2463696
190	56.19914483
191	56.17139125
192	56.12377464
193	56.03175929
194	55.93237722
195	55.88345648
196	55.82316288
197	55.73951654
198	55.67144493
199	55.59131247
200	55.5380834
201	55.48467488
202	55.44490348
203	55.3689656
204	55.33022929
205	55.24640073
206	55.11526225
207	55.01827832
208	54.86337245
209	54.81809985
210	54.76021463
211	54.72151867
212	54.69449832
213	54.67920643
214	54.5973818
215	54.51513892
216	54.43894488
217	54.32620115
218	54.22929967
219	54.1650224
220	54.11705308
221	54.08676093
222	54.04012123
223	53.97417816
224	53.94715116
225	53.92077529
226	53.8229483
227	53.75137726
228	53.69249525
229	53.5764374
230	53.50395219
231	53.40869434
232	53.37138289
233	53.32091394
234	53.21440921
235	53.1208482
236	52.96464971
237	52.9089968
238	52.88656757
239	52.86637017
240	52.85013802
241	52.69396314
242	52.58336869
243	52.50396769
244	52.38178891
245	52.30846085
246	52.28420233
247	52.26167675
248	52.23673384
249	52.22300465
250	52.18667342
251	52.16882005
252	52.1503231
253	52.13450432
254	52.11799149
255	52.09925903
256	51.92683907
257	51.91117827
258	51.76933251
259	51.68016315
260	51.66512101
261	51.65035325
262	51.59506114
263	51.57788749
264	51.55582283
265	51.5420527
266	51.5265038
267	51.5128594
268	51.47761992
269	51.44807973
270	51.36486563
271	51.35351197
272	51.26511639
273	51.15696746
274	51.14418423
275	50.98643211
276	50.94532694
277	50.85816877
278	50.84478044
279	50.77979337
280	50.76738046
281	50.65990944
282	50.64813067
283	50.63768825
284	50.62616681
285	50.5441015
286	50.44197313
287	50.34043762
288	50.25682375
289	50.24172743
290	50.17144472
291	50.06000313
292	49.90278156
293	49.87701022
294	49.77910665
295	49.690998
296	49.54524988
297	49.47112422
298	49.40503763
299	49.3440169
300	49.32987282
301	49.24234281
302	49.23485878
303	49.16537206
304	49.06742802
305	48.90784174
306	48.81062534
307	48.74411918
308	48.64223189
309	48.5923213
310	48.53524693
311	48.52509021
312	48.51515333
313	48.42461209
314	48.4185192
315	48.33128973
316	48.26716545
317	48.17478075
318	48.07937966
319	48.02117361
320	47.90045835
321	47.83281159
322	47.74377023
323	47.73451929
324	47.64468056
325	47.54011302
326	47.47940952
327	47.42898986
328	47.35297581
329	47.21935752
330	47.14273615
331	47.09855856
332	47.04958563
333	46.92523188
334	46.83948998
335	46.78064112
336	46.69743011
337	46.62533996
338	46.56750393
339	46.43688137
340	46.35904519
341	46.28525755
342	46.22093004
343	46.13037752
344	46.05997261
345	46.04718563
346	46.01274299
347	45.96851068
348	45.91071344
349	45.81931745
350	45.74783371
351	45.70188078
352	45.64033953
353	45.58904661
354	45.50713256
355	45.42110359
356	45.35951697
357	45.28060449
358	45.17990236
359	45.08288141
360	45.04284976
361	44.97273681
362	44.89941108
363	44.80512352
364	44.74074167
365	44.68176232
366	44.65351891
367	44.59296782
368	44.54098622
369	44.47076982
370	44.44291693
371	44.36362996
372	44.29827581
373	44.20711467
374	44.13665686
375	44.11738262
376	44.05444339
377	43.96645911
378	43.85370437
379	43.80038004
380	43.73225398
381	43.66731799
382	43.63469793
383	43.55370212
384	43.51696699
385	43.45170737
386	43.39281502
387	43.38197817
388	43.32253707
389	43.27196495
390	43.20714156
391	43.15593399
392	43.07046662
393	42.97569029
394	42.94672858
395	42.88388578
396	42.8610186
397	42.80131231
398	42.76292869
399	42.70776697
400	42.67199621
401	42.61283122
402	42.55594785
403	42.47821536
404	42.42881866
405	42.37372465
406	42.25292042
407	42.18720367
408	42.09622728
409	42.05051243
410	42.02172275
411	41.97447612
412	41.88903727
413	41.8212406
414	41.76526352
415	41.69949458
416	41.64727671
417	41.55536389
418	41.45238365
419	41.41961461
420	41.30635606
421	41.26855301
422	41.19387892
423	41.1352963
424	41.0454105
425	40.99281061
426	40.91144536
427	40.83489364
428	40.78518069
429	40.74012988
430	40.69460651
431	40.64488439
432	40.60109319
433	40.51919202
434	40.44137977
435	40.38803563
436	40.27390313
437	40.24849805
438	40.21433942
439	40.14099364
440	40.04468177
441	39.92868195
442	39.87815093
443	39.79860933
444	39.73532864
445	39.72556352
446	39.64649218
447	39.6242116
448	39.55805414
449	39.53403781
450	39.50199526
451	39.453777
452	39.40580502
453	39.38506828
454	39.32245862
455	39.26478979
456	39.23151836
457	39.20864614
458	39.18985291
459	39.13481596
460	39.08878385
461	39.06498817
462	38.97315283
463	38.94860559
464	38.89394211
465	38.82987761
466	38.81018475
467	38.73511424
468	38.64022763
469	38.54595882
470	38.48664025
471	38.43952656
472	38.36451646
473	38.29608021
474	38.25671128
475	38.23512512
476	38.20525409
477	38.12650034
478	38.07360363
479	37.98943658
480	37.91495164
481	37.8401989
482	37.80094142
483	37.72027365
484	37.66649043
485	37.61976836
486	37.55485267
487	37.54604938
488	37.49391443
489	37.42047588
490	37.38637476
491	37.3456931
492	37.2519411
493	37.16463402
494	37.13156464
495	37.0713287
496	37.04915048
497	36.98924184
498	36.91555532
499	36.85264055
500	36.78071225
501	36.7638747
502	36.7561213
503	36.69917464
504	36.65027563
505	36.6051978
506	36.56017863
507	36.5220366
508	36.5042214
509	36.44613861
510	36.42634711
511	36.38725918
512	36.37994719
513	36.31432432
514	36.28355828
515	36.22619253
516	36.20896712
517	36.15980115
518	36.08265719
519	36.02341279
520	35.95544048
521	35.93101431
522	35.8606079
523	35.8100123
524	35.73649062
525	35.69974203
526	35.65991179
527	35.62189238
528	35.60739473
529	35.52589531
530	35.51922442
531	35.46076141
532	35.42126155
533	35.33608598
534	35.28799295
535	35.23799312
536	35.20557656
537	35.1456148
538	35.09618186
539	35.03218725
540	35.00480634
541	34.96889751
542	34.91136797
543	34.88361589
544	34.85217387
545	34.80860608
546	34.72599509
547	34.6902115
548	34.6202989
549	34.57176383
550	34.54463512
551	34.47819457
552	34.43391736
553	34.40080851
554	34.34421077
555	34.29829436
556	34.26553177
557	34.2384662
558	34.20482053
559	34.18479764
560	34.14572591
561	34.09052432
562	34.07792029
563	34.03259748
564	33.98644235
565	33.95476098
566	33.91846832
567	33.84724203
568	33.79222334
569	33.76168881
570	33.73931098
571	33.69385608
572	33.6295849
573	33.59214989
574	33.52963844
575	33.5084753
576	33.4589228
577	33.40349438
578	33.39139743
579	33.35113916
580	33.33582515
581	33.29183406
582	33.26007527
583	33.21301831
584	33.17849206
585	33.15495004
586	33.07393775
587	33.05013948
588	33.00594357
589	32.96419403
590	32.91379843
591	32.88595814
592	32.83154877
593	32.77812163
594	32.75606514
595	32.70442817
596	32.66606805
597	32.61628546
598	32.57008951
599	32.53778889
600	32.5094483
601	32.48522318
602	32.40478527
603	32.35689186
604	32.34353551
605	32.28572967
606	32.26929274
607	32.21927659
608	32.18489985
609	32.17331361
610	32.13380623
611	32.06924042
612	32.02080325
613	31.98367762
614	31.95412179
615	31.91269692
616	31.8813841
617	31.84949609
618	31.82307681
619	31.78778799
620	31.73601616
621	31.67644041
622	31.62516736
623	31.60222994
624	31.56514875
625	31.5065521
626	31.46095473
627	31.43516204
628	31.41607574
629	31.38455032
630	31.35827094
631	31.32583425
632	31.29943683
633	31.27770262
634	31.24350548
635	31.19742017
636	31.16080965
637	31.10363607
638	31.06774191
639	31.05312867
640	31.02883643
641	30.97707635
642	30.93637454
643	30.89966764
644	30.87824501
645	30.82637379
646	30.78579898
647	30.74448339
648	30.72081584
649	30.70413003
650	30.66563783
651	30.63245106
652	30.59699253
653	30.58305089
654	30.53806662
655	30.49268062
656	30.43266413
657	30.3896936
658	30.33704913
659	30.28280325
660	30.24745536
661	30.24158845
662	30.21965156
663	30.16444659
664	30.12210857
665	30.09716772
666	30.05220071
667	30.00548986
668	29.96513128
669	29.95346421
670	29.93154144
671	29.88208522
672	29.83245768
673	29.79125236
674	29.75434084
675	29.74858517
676	29.72607603
677	29.69608745
678	29.65366706
679	29.61310535
680	29.59326776
681	29.55077733
682	29.50662437
683	29.45200471
684	29.42186575
685	29.38017574
686	29.32787821
687	29.28905508
688	29.24248556
689	29.20044686
690	29.15328852
691	29.12721962
692	29.087519
693	29.05758372
694	29.02813566
695	29.00722995
696	28.98129975
697	28.96581109
